label,text,id,surrounding_text
timexy,3/1/2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""","March 2013, it has been hard to keep up and make sense of Ms Heard(cid:182)s evidence.   "
timexy,8/1/2016,"TIMEX3 type=""DATE"" value=""2016-08-01T00:00:00""",she was deposed in August 2016. But her account of her injuries  were inconsistent 
timexy,12/1/2015,"TIMEX3 type=""DATE"" value=""2015-12-01T00:00:00""","Depp in December 2015 [2/59B/D227-D231], Ms Heard created a wholly new, but "
timexy,5/26/2016,"TIMEX3 type=""DATE"" value=""2016-05-26T00:00:00""",26  May  2016  and  (cid:177)  where  they  have  given  evidence  (cid:177)  references  to  where  that 
timexy,7/17/2020,"TIMEX3 type=""DATE"" value=""2020-07-17T00:00:00""","relies upon his evidence as hearsay (Claimant(cid:182)s Hearsa(cid:92) Notice, 17 July 2020). "
timexy,7/18/2016,"TIMEX3 type=""DATE"" value=""2016-07-18T00:00:00""","66. In short, the contents of the deposition of Officer Saenz on 18 July 2016 [3/87/F43-"
timexy,7/28/2016,"TIMEX3 type=""DATE"" value=""2016-07-28T00:00:00""",
timexy,5/1/2016,"TIMEX3 type=""DATE"" value=""2016-05-01T00:00:00""",of May 2016. 
timexy,7/28/2016,"TIMEX3 type=""DATE"" value=""2016-07-28T00:00:00""","proceedings  and that in respect of the 28 July 2016  deposition, Mr  Harrell  was "
timexy,5/1/2016,"TIMEX3 type=""DATE"" value=""2016-05-01T00:00:00""","Sun having previously published (a) an article in May 2016, in which it had reported "
timexy,8/17/2016,"TIMEX3 type=""DATE"" value=""2016-08-17T00:00:00""",that there was no evidence warranting a report of a crime and (b) on 17 August 2016 
timexy,3/20/2020,"TIMEX3 type=""DATE"" value=""2020-03-20T00:00:00""",
timexy,3/1/2017,"TIMEX3 type=""DATE"" value=""2017-03-01T00:00:00""","2 In March 2017, HHJ Parkes QC sitting as a Deputy High Court Judge in Lisle-Mainwaring v ANL [2017] "
timexy,3/1/2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""",8th March 2013 
timexy,3/8/2013,"TIMEX3 type=""DATE"" value=""2013-03-08T00:00:00""",there were two incidents (one on 8 March 2013 to which the text mentioning the 
timexy,8/1/2014,"TIMEX3 type=""DATE"" value=""2014-08-01T00:00:00""",8.  Fifth Incident: Bahamas detox in August 2014 (ReAmDef ¶8.a.5)  
timexy,11/1/2015,"TIMEX3 type=""DATE"" value=""2015-11-01T00:00:00""","12. Eleventh Incident: Thanksgiving, November 2015 (Re-Am Def ¶8.a.14) "
timexy,5/21/2016,"TIMEX3 type=""DATE"" value=""2016-05-21T00:00:00""","14. Fourteenth Incident: May 21, 2016 at the Eastern Columbia (Re-AmDef ¶8(d)-(l)) "
timexy,5/28/2016,"TIMEX3 type=""DATE"" value=""2016-05-28T00:00:00""",28 May 2016 at 6/148E/894.257 (cid:177) F894.259 which Ms Heard states (cid:90)e(cid:85)e (cid:179)photos 
timexy,5/1/2016,"TIMEX3 type=""DATE"" value=""2016-05-01T00:00:00""",28 May 2016 at 6/148E/894.257 (cid:177) F894.259 which Ms Heard states (cid:90)e(cid:85)e (cid:179)photos 
timexy,6/21/2019,"TIMEX3 type=""DATE"" value=""2019-06-21T00:00:00""",21-Jun-19
timexy,3/12/2013,"TIMEX3 type=""DATE"" value=""2013-03-12T00:00:00""",that evening. The date of that text is 12 March 2013. 
timexy,3/12/2013,"TIMEX3 type=""DATE"" value=""2013-03-12T00:00:00""",text: that text is 12 March 2013. 
timexy,12/12/2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""",12-Dec-19
timexy,12/15/2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",15-Dec-19
timexy,3/6/2020,"TIMEX3 type=""DATE"" value=""2020-03-06T00:00:00""",6-Mar-20
timexy,6/1/2020,"TIMEX3 type=""DATE"" value=""2020-06-01T00:00:00""",20th June 2020  
timexy,3/9/2013,"TIMEX3 type=""DATE"" value=""2013-03-09T00:00:00""",
timexy,6/24/2020,"TIMEX3 type=""DATE"" value=""2020-06-24T00:00:00""",On or around 24 June 2020 
timexy,3/20/2013,"TIMEX3 type=""DATE"" value=""2013-03-20T00:00:00""",
timexy,7/1/2020,"TIMEX3 type=""DATE"" value=""2020-07-01T00:00:00""",4th July 2020 
