label,page,text,id,surrounding_text
timexy,1,three weeks,"TIMEX3 type=""DURATION"" value=""P3W""","published in The Sun. The Court has heard three weeks of evidence, and despite a "
DATE,2,2019,,Koutsogiannis v  The Random House Group Limited  [2019]  EWHC  48  (QB)  at  [12] 
DATE,5,2019,,"1 Lachaux v Independent Print Ltd [2019] UKSC; [2019] 3 WLR 18 (Tab 11 of the Authorities Bundle) 
 "
DATE,5,2019] 3,,"1 Lachaux v Independent Print Ltd [2019] UKSC; [2019] 3 WLR 18 (Tab 11 of the Authorities Bundle) 
 "
DATE,6,C(cid:182)s 2nd,,26. Mr Depp(cid:182)s evidence about harm to his reputation and impact on his career (C(cid:182)s 2nd WS 
DATE,6,2018,,See  Bokhova  v  Associated  Newspapers  Ltd  [2018]  EWHC  2032;  [2019]  QB  861  at 
DATE,6,2019,,See  Bokhova  v  Associated  Newspapers  Ltd  [2018]  EWHC  2032;  [2019]  QB  861  at 
DATE,6,2003,,"News  Group  Newspapers  Ltd  [2003]  EMLR  11,  a  decision  referred  to  in  the "
DATE,7,2008] UKHL 33,,of State for Northern Ireland intervening) [2008] UKHL 33; [2008] 1 WLR 1499 in the 
DATE,7,2006,,Richards  LJ  in  R(N)  v Mental  Health  Review  Tribunal  (Northern  Region)  [2006]  QB 
DATE,7,2002,,Council  [2002]  EWHC  1600  (QB)  which  was  referred  to  in  the  Claimant(cid:182)s  Skeleton 
DATE,9,4  days,,"46. Mr  Depp,  as  he  made  abundantly  clear  throughout  his  4  days  in  the  witness  box, "
timexy,10,March 2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""","March 2013, it has been hard to keep up and make sense of Ms Heard(cid:182)s evidence.   "
